Semrush|https://www.semrush.com/|Digital marketing research and search visibility analysis.|پژوهش بازاریابی دیجیتال و تحلیل دیده‌شدن در جست‌وجو.
JMP|https://www.jmp.com/en/home|Exploratory statistics and design of experiments.|آمار اکتشافی و طراحی آزمایش‌ها.
DHIS2|https://dhis2.org/|Collect, manage and analyze health information.|گردآوری، مدیریت و تحلیل اطلاعات سلامت.
Epi Info|https://www.cdc.gov/epiinfo/|Legacy epidemiology software. CDC discontinued development and technical assistance in September 2025.|نرم‌افزار قدیمی همه‌گیرشناسی؛ CDC توسعه و پشتیبانی فنی آن را در سپتامبر ۲۰۲۵ متوقف کرده است.
REDCap|https://projectredcap.org/|Research data capture and management.|ثبت و مدیریت داده پژوهش.
Qualtrics|https://www.qualtrics.com/|Design surveys and analyze responses.|طراحی پرسش‌نامه و تحلیل پاسخ‌ها.
SurveyMonkey|https://www.surveymonkey.com/|Online survey creation and response collection.|ساخت پرسش‌نامه آنلاین و گردآوری پاسخ.
Zotero|https://www.zotero.org/|Collect references and manage research citations.|گردآوری منابع و مدیریت ارجاعات پژوهش.
Mendeley|https://www.mendeley.com/|Organize research papers and bibliographic references.|سازمان‌دهی مقاله‌ها و ارجاعات کتاب‌شناختی.
SpheraCloud EHS&S|https://sphera.com/solutions/environment-health-safety-sustainability/|Environmental, health, safety and sustainability management.|مدیریت محیط‌زیست، بهداشت، ایمنی و پایداری.
VelocityEHS|https://www.ehs.com/|Workplace environment, health and safety management.|مدیریت محیط، بهداشت و ایمنی کار.
BowTieXP|https://www.wolterskluwer.com/en-gb/solutions/enablon/bowtie/bowtiexp|Visualize hazards, controls and consequences with bow-tie analysis.|نمایش مخاطرات، کنترل‌ها و پیامدها با تحلیل پاپیونی.
Siemens Tecnomatix Process Simulate Human|https://www.siemens.com/en-us/products/tecnomatix/human-centered-design-simulation/|Simulate human tasks and assess ergonomic work design.|شبیه‌سازی فعالیت انسان و ارزیابی ارگونومیک طراحی کار.
ErgoFellow|https://www.fbfsistemas.com/ergonomics.html|Tools for ergonomic assessment of work activities.|ابزارهای ارزیابی ارگونومیک فعالیت‌های کاری.
Ergoniza / Ergonautas|https://www.ergonautas.upv.es/|Ergonomic assessment methods and workplace analysis.|روش‌های ارزیابی ارگونومی و تحلیل محیط کار.
Expert Choice|https://www.expertchoice.com/|Structured multi-criteria decisions and priority setting.|تصمیم‌گیری چندمعیاره ساختارمند و تعیین اولویت.
Vensim|https://vensim.com/|Model feedback and dynamic behavior with system dynamics.|مدل‌سازی بازخورد و رفتار پویا با پویایی سیستم.
